0	1.0 1.0
6 46 35	0.14473684210526316 0.06382978723404255
6 46 36	0.07894736842105263 0.014184397163120567
6 48 9 0	0.17763157894736842 0.10638297872340426
7 0	0.011235955056179775 0.0070921985815602835
7 0 0	0.30434782608695654 0.06382978723404255
7 0 9	0.1297709923664122 0.19148936170212766
7 0 25	0.10179640718562874 0.1702127659574468
7 0 36 0	0.38242894056847543 0.3120567375886525
7 0 38 39	0.060191518467852256 0.12056737588652482
7 0 45 11	0.023255813953488372 0.0070921985815602835
7 1	0.2469879518072289 0.2695035460992908
7 1 0 44	0.24 0.10638297872340426
7 1 1	0.33532934131736525 0.22695035460992907
7 1 6 31	0.08702449192287649 0.3191489361702128
7 1 11	0.0815450643776824 0.0851063829787234
7 1 14 16	0.06752608962553713 0.3404255319148936
7 1 16 41	0.14148167959347419 0.5815602836879432
7 1 18 43	0.22549952426260705 0.425531914893617
7 1 26	0.09531013615733737 0.24822695035460993
7 1 28 33	0.2222222222222222 0.12056737588652482
7 1 43 18	0.228310502283105 0.44680851063829785
7 2 12 16	0.04665492957746479 0.19858156028368795
7 2 13	0.2796610169491525 0.1702127659574468
7 2 14	0.07657657657657657 0.09929078014184398
7 2 16 12	0.07971014492753623 0.12056737588652482
7 2 27	0.056338028169014086 0.12056737588652482
7 2 30 38	0.13526570048309178 0.14184397163120568
7 2 33	0.18497109826589594 0.11347517730496454
7 2 35 18	0.1984732824427481 0.22695035460992907
7 2 41 0	0.2545454545454545 0.40425531914893614
7 3 0	0.019438444924406047 0.06382978723404255
7 3 0 18	0.035233160621761656 0.10638297872340426
7 3 3	0.1017156862745098 0.3049645390070922
7 3 6 12	0.040342298288508556 0.3120567375886525
7 3 7 41	0.09319119669876204 0.4326241134751773
7 3 8	0.08888888888888889 0.1347517730496454
7 3 10 14	0.037336652146857496 0.2127659574468085
7 3 18	0.21994134897360704 0.2907801418439716
7 3 20	0.09944751381215469 0.07801418439716312
7 3 26 18	0.16595744680851063 0.2907801418439716
7 3 28	0.047058823529411764 0.19858156028368795
7 3 30 8	0.09917355371900827 0.19858156028368795
7 3 31 34	0.10210876803551609 0.48226950354609927
7 3 38	0.06291390728476821 0.1702127659574468
7 3 38 5	0.09211222869242985 0.3262411347517731
7 3 41 19	0.11759343664539654 0.2907801418439716
7 3 43	0.184 0.2907801418439716
7 3 43 30	0.21664050235478807 0.36879432624113473
7 4 8	0.20199501246882792 0.3262411347517731
7 4 13	0.1592356687898089 0.23404255319148937
7 4 13 15	0.16058394160583941 0.09929078014184398
7 4 16 0	0.3081761006289308 0.5815602836879432
7 4 17 13	0.19956616052060738 0.2907801418439716
7 4 27	0.08223684210526316 0.10638297872340426
7 4 29 1	0.21160184574818722 0.5177304964539007
7 4 29 5	0.11738578680203046 0.3191489361702128
7 4 31	0.03414634146341464 0.19148936170212766
7 4 32 14	0.1817528735632184 0.723404255319149
7 4 33	0.22611464968152867 0.2624113475177305
7 4 34 32	0.0011883541295306002 0.014184397163120567
7 4 41	0.0070921985815602835 0.028368794326241134
7 5	0.15734265734265734 0.2553191489361702
7 5 1	0.221875 0.46808510638297873
7 5 1 5	0.12450521770421015 0.4326241134751773
7 5 9	0.005611672278338945 0.0070921985815602835
7 5 12 39	0.008298755186721992 0.0425531914893617
7 5 16 16	0.06920616458272753 0.574468085106383
7 5 18 13	0.20261437908496732 0.23404255319148937
7 5 28 33	0.29554655870445345 0.18439716312056736
7 5 29 0	0.003663003663003663 0.0070921985815602835
7 5 30	0.10843373493975904 0.41134751773049644
7 5 33 38	0.05733558178752108 0.16312056737588654
7 5 35	0.10909090909090909 0.1773049645390071
7 5 36	0.09948979591836735 0.1347517730496454
7 5 39 41	0.10881542699724518 0.5106382978723404
7 5 41 16	0.09623619562767635 0.574468085106383
7 5 42	0.1 0.0851063829787234
7 5 43 43	0.1554907677356657 0.2978723404255319
7 5 44 19	0.20416666666666666 0.1347517730496454
7 6 4 12	0.11458333333333333 0.1702127659574468
7 6 13 30	0.06397306397306397 0.09219858156028368
7 6 14	0.19675925925925927 0.3475177304964539
7 6 16	0.07626076260762607 0.2553191489361702
7 6 18 0	0.24829931972789115 0.24822695035460993
7 6 27 0	0.3071786310517529 0.3971631205673759
7 6 31	0.06872586872586872 0.3191489361702128
7 6 31 11	0.08910212474297464 0.3617021276595745
7 6 32 3	0.07442888725128961 0.2553191489361702
7 6 37 13	0.2188449848024316 0.375886524822695
7 6 37 41	0.048072562358276644 0.18439716312056736
7 6 41	0.0898716119828816 0.2198581560283688
7 7 0 30	0.0787037037037037 0.05673758865248227
7 7 9	0.08703703703703704 0.15602836879432624
7 7 9 1	0.25 0.3333333333333333
7 7 16 8	0.08158508158508158 0.09219858156028368
7 7 27 39	0.06525911708253358 0.07092198581560284
7 7 29 16	0.09253731343283582 0.14893617021276595
7 7 31	0.004201680672268907 0.014184397163120567
7 7 37	0.10227272727272728 0.06382978723404255
7 7 38 39	0.08 0.028368794326241134
7 8 1 28	0.08928571428571429 0.09929078014184398
7 8 13	0.1681614349775785 0.28368794326241137
7 8 16 0	0.3199004975124378 0.7163120567375887
7 8 20 26	0.1037037037037037 0.14184397163120568
7 8 28	0.13095238095238096 0.09219858156028368
7 8 30 8	0.09006211180124224 0.2624113475177305
7 8 41 0	0.32533013205282113 0.48226950354609927
7 8 41 32	0.05100463678516229 0.15602836879432624
7 8 43	0.14893617021276595 0.2127659574468085
7 9	0.0037593984962406013 0.0070921985815602835
7 9 0	0.3422756706753006 0.7943262411347518
7 9 1 19	0.1447721179624665 0.3120567375886525
7 9 4 14	0.18823529411764706 0.46099290780141844
7 9 4 31	0.06518590053114437 0.3475177304964539
7 9 7 5	0.13047649504317238 0.3475177304964539
7 9 8 39	0.03837209302325582 0.09929078014184398
7 9 8 41	0.12667946257197696 0.5531914893617021
7 9 11 44	0.19292604501607716 0.18439716312056736
7 9 12	0.029601029601029602 0.12056737588652482
7 9 14 18	0.12995186967789707 0.48226950354609927
7 9 14 39	0.018981972428419935 0.3333333333333333
7 9 16 20	0.12448132780082988 0.15602836879432624
7 9 16 33	0.12764632627646327 0.3262411347517731
7 9 16 38	0.0792860107928601 0.3120567375886525
7 9 18 16	0.07547169811320754 0.46808510638297873
7 9 19 5	0.09123649459783914 0.20567375886524822
7 9 25 34	0.003531489111241907 0.03546099290780142
7 9 27 14	0.17211597779148674 0.48936170212765956
7 9 31 8	0.10162254483347566 0.3617021276595745
7 9 31 13	0.15315315315315314 0.3829787234042553
7 9 31 18	0.16185410334346503 0.5035460992907801
7 9 32 1	0.1252927400468384 0.3049645390070922
7 9 32 15	0.07914572864321608 0.18439716312056736
7 9 34	0.11336190105181146 0.7021276595744681
7 9 34 30	0.16907763769077638 0.5673758865248227
7 9 35	0.005934718100890208 0.0070921985815602835
7 9 35 0	0.2907588279489106 0.6666666666666666
7 9 38 14	0.19665271966527198 0.6950354609929078
7 9 41 27	0.05978538579458355 0.2765957446808511
7 9 41 28	0.055574614065180106 0.24113475177304963
7 9 41 45	0.2457482993197279 0.41843971631205673
7 9 43	0.0024390243902439024 0.0070921985815602835
7 10 1	0.2891566265060241 0.23404255319148937
7 10 9 19	0.12396694214876033 0.15602836879432624
7 10 13 39	0.04338394793926247 0.07092198581560284
7 10 16 14	0.22734375 0.6666666666666666
7 10 17	0.028112449799196786 0.0425531914893617
7 10 17 41	0.006586169045005488 0.02127659574468085
7 10 21 27	0.06060606060606061 0.014184397163120567
7 10 28 3	0.07767722473604827 0.2695035460992908
7 10 29 18	0.17532467532467533 0.11347517730496454
7 10 30	0.19817073170731708 0.28368794326241137
7 10 35	0.0599803343166175 0.15602836879432624
7 11	0.06818181818181818 0.03546099290780142
7 11 5 15	0.1761904761904762 0.10638297872340426
7 11 9 0	0.33974358974358976 0.20567375886524822
7 11 12 12	0.05693069306930693 0.0851063829787234
7 11 28 13	0.34523809523809523 0.12056737588652482
7 11 30	0.13125 0.12056737588652482
7 11 32 34	0.15894039735099338 0.19858156028368795
7 11 41 31	0.06103286384976526 0.1773049645390071
7 12 0	0.26180257510729615 0.28368794326241137
7 12 8 41	0.13753581661891118 0.2553191489361702
7 12 9 5	0.06016949152542373 0.14184397163120568
7 12 12	0.05867970660146699 0.11347517730496454
7 12 25	0.07205240174672489 0.14893617021276595
7 12 25 11	0.1111111111111111 0.3971631205673759
7 12 26 25	0.0384 0.07092198581560284
7 12 32 36	0.11688311688311688 0.07092198581560284
7 12 33 14	0.19759036144578312 0.28368794326241137
7 12 37 35	0.0893169877408056 0.2127659574468085
7 13 5 38	0.07819905213270142 0.12056737588652482
7 13 6 32	0.07544006705783739 0.18439716312056736
7 13 13 5	0.17123287671232876 0.09929078014184398
7 13 38 26	0.065 0.10638297872340426
7 13 41 9	0.09062980030721966 0.24822695035460993
7 13 44 41	0.18204488778054864 0.19858156028368795
7 13 45	0.3018867924528302 0.07801418439716312
7 14 5 41	0.10531354715174725 0.425531914893617
7 14 11 41	0.09366754617414248 0.2765957446808511
7 14 14	0.12760416666666666 0.20567375886524822
7 14 16	0.08014571948998178 0.3829787234042553
7 14 18	0.028720626631853787 0.05673758865248227
7 14 18 36	0.03171247357293869 0.07801418439716312
7 14 19 13	0.21328671328671328 0.18439716312056736
7 14 28	0.01276595744680851 0.02127659574468085
7 14 30 14	0.1163575042158516 0.2695035460992908
7 14 30 31	0.11377245508982035 0.19858156028368795
7 14 34 18	0.13708820403825717 0.28368794326241137
7 14 34 45	0.29949238578680204 0.22695035460992907
7 14 37 14	0.08414239482200647 0.19858156028368795
7 14 38	0.023752969121140142 0.06382978723404255
7 14 39	0.06374501992031872 0.3617021276595745
7 14 41	0.10749185667752444 0.23404255319148937
7 14 42 16	0.07890222984562607 0.1276595744680851
7 15	0.019801980198019802 0.014184397163120567
7 15 3 14	0.044481054365733116 0.10638297872340426
7 15 5	0.05263157894736842 0.02127659574468085
7 15 6 41	0.09378663540445487 0.3191489361702128
7 15 8 31	0.031914893617021274 0.014184397163120567
7 15 14 41	0.1360153256704981 0.3120567375886525
7 15 15	0.10774410774410774 0.14184397163120568
7 15 15 1	0.30434782608695654 0.2695035460992908
7 15 31 41	0.08299430431244914 0.3120567375886525
7 15 34	0.007058823529411765 0.02127659574468085
7 15 35	0.0707070707070707 0.0425531914893617
7 15 38 13	0.17098445595854922 0.12056737588652482
7 16 0 20	0.25874125874125875 0.2978723404255319
7 16 1 14	0.18159115233678202 0.6099290780141844
7 16 3 32	0.08057971014492754 0.24113475177304963
7 16 6 36	0.053108026554013275 0.2198581560283688
7 16 7 13	0.13778705636743216 0.1773049645390071
7 16 8 25	0.0389344262295082 0.05673758865248227
7 16 9 13	0.1266829865361077 0.36879432624113473
7 16 10 31	0.07185458676512355 0.5106382978723404
7 16 11 31	0.09029649595687332 0.2695035460992908
7 16 13 19	0.14725274725274726 0.2978723404255319
7 16 13 34	0.12724935732647816 0.6312056737588653
7 16 14	0.19609211444521982 0.624113475177305
7 16 14 30	0.15217391304347827 0.5177304964539007
7 16 16	0.05548128342245989 0.3262411347517731
7 16 30 16	0.0644515612489992 0.3617021276595745
7 16 31 1	0.11889097744360902 0.6170212765957447
7 16 32 13	0.13436293436293437 0.2765957446808511
7 16 33 25	0.08256880733944955 0.05673758865248227
7 16 34 3	0.06368330464716007 0.2198581560283688
7 16 34 28	0.07403471484236628 0.1773049645390071
7 16 34 38	0.12588766946417043 0.36879432624113473
7 16 35 14	0.17310996563573883 0.5531914893617021
7 16 38 19	0.10077519379844961 0.18439716312056736
7 16 39	0.042505592841163314 0.16312056737588654
7 16 41	0.09696342305037957 0.7304964539007093
7 16 41 17	0.03372093023255814 0.1276595744680851
7 16 42 16	0.0941968040370059 0.22695035460992907
7 17	0.037267080745341616 0.0425531914893617
7 17 1	0.10440456769983687 0.2127659574468085
7 17 5	0.05844155844155844 0.07092198581560284
7 17 8 28	0.03862660944206009 0.0425531914893617
7 17 11	0.09505703422053231 0.18439716312056736
7 17 19 0	0.267741935483871 0.28368794326241137
7 17 30	0.10408163265306122 0.18439716312056736
7 17 35	0.109375 0.0425531914893617
7 17 36	0.13043478260869565 0.12056737588652482
7 17 39 14	0.11632359980852082 0.425531914893617
7 17 41 41	0.11129707112970712 0.44680851063829785
7 17 42	0.036011080332409975 0.09219858156028368
7 18 16 9	0.11310084825636192 0.1773049645390071
7 18 18	0.16 0.10638297872340426
7 18 20	0.3918918918918919 0.11347517730496454
7 18 39	0.022448979591836733 0.06382978723404255
7 21 2 40	0.06976744186046512 0.02127659574468085
7 21 10 8	0.2 0.04964539007092199
7 23 43	0.35 0.04964539007092199
7 24 37	0.6 0.02127659574468085
7 27	0.01485148514851485 0.02127659574468085
7 27 2 35	0.0974669603524229 0.22695035460992907
7 27 13	0.19784172661870503 0.2127659574468085
7 27 14 9	0.06623376623376623 0.19148936170212766
7 27 14 19	0.16463414634146342 0.09219858156028368
7 27 26	0.017699115044247787 0.0425531914893617
7 27 27	0.11158798283261803 0.09219858156028368
7 27 28	0.06430868167202572 0.07801418439716312
7 27 28 15	0.10666666666666667 0.12056737588652482
7 27 30	0.0018148820326678765 0.0070921985815602835
7 27 30 13	0.24342857142857144 0.28368794326241137
7 27 30 38	0.12734584450402145 0.19858156028368795
7 27 31 40	0.007042253521126761 0.02127659574468085
7 27 32 14	0.19002123142250532 0.24822695035460993
7 27 33	0.09881422924901186 0.10638297872340426
7 27 34 31	0.10048622366288493 0.20567375886524822
7 27 35 33	0.10249307479224377 0.09929078014184398
7 28 3	0.08047337278106509 0.2695035460992908
7 28 3 30	0.16039279869067102 0.3404255319148936
7 28 7 41	0.12319939347990902 0.425531914893617
7 28 13	0.158311345646438 0.19858156028368795
7 28 14 19	0.18604651162790697 0.28368794326241137
7 28 16 0	0.2893652102225886 0.5390070921985816
7 28 16 37	0.06326723323890462 0.19858156028368795
7 28 18	0.24528301886792453 0.3049645390070922
7 28 27	0.10232558139534884 0.09219858156028368
7 28 29 11	0.1388888888888889 0.15602836879432624
7 28 34 39	0.05542635658914729 0.3333333333333333
7 28 38	0.05555555555555555 0.11347517730496454
7 28 39 34	0.08835672997522709 0.2978723404255319
7 28 41 34	0.12394901003525902 0.6170212765957447
7 28 43	0.20618556701030927 0.2695035460992908
7 28 45	0.16304347826086957 0.07801418439716312
7 29 3	0.06048387096774194 0.1276595744680851
7 29 4 1	0.2073684210526316 0.46099290780141844
7 29 8	0.23809523809523808 0.3049645390070922
7 29 9 14	0.2306086956521739 0.6808510638297872
7 29 13	0.16938110749185667 0.2624113475177305
7 29 18	0.16428571428571428 0.1347517730496454
7 29 27 5	0.07550077041602465 0.1702127659574468
7 29 27 15	0.14375 0.07092198581560284
7 29 30 0	0.01002004008016032 0.02127659574468085
7 29 30 33	0.15579227696404793 0.24113475177304963
7 29 31	0.02434928631402183 0.1347517730496454
7 29 33	0.20869565217391303 0.2907801418439716
7 29 35 8	0.08370702541106129 0.2198581560283688
7 29 37 14	0.23675213675213674 0.40425531914893614
7 29 39	0.14814814814814814 0.04964539007092199
7 29 43	0.20512820512820512 0.2127659574468085
7 30	0.1553398058252427 0.19858156028368795
7 30 5	0.13767441860465116 0.36879432624113473
7 30 5 5	0.1798201798201798 0.41134751773049644
7 30 11	0.049019607843137254 0.05673758865248227
7 30 14 45	0.10222222222222223 0.0851063829787234
7 30 17 1	0.09591836734693877 0.28368794326241137
7 30 18 13	0.18271119842829076 0.2765957446808511
7 30 25 0	0.3449550977284733 0.5177304964539007
7 30 26	0.1510791366906475 0.2624113475177305
7 30 29 28	0.08133971291866028 0.04964539007092199
7 30 30	0.16271186440677965 0.19858156028368795
7 30 30 26	0.1509090909090909 0.2198581560283688
7 30 31 41	0.10049019607843138 0.5177304964539007
7 30 32 0	0.333011583011583 0.574468085106383
7 30 35	0.07854984894259819 0.12056737588652482
7 30 36	0.05327868852459016 0.10638297872340426
7 30 36 11	0.12183789364997419 0.3333333333333333
7 30 38 8	0.08090614886731391 0.07801418439716312
7 30 41 14	0.16468590831918506 0.3191489361702128
7 30 43 13	0.19203413940256045 0.3262411347517731
7 31 1 16	0.06298629121897 0.45390070921985815
7 31 1 41	0.11570896254167484 0.5602836879432624
7 31 2 0	0.3282863041982106 0.6382978723404256
7 31 3 9	0.06989247311827956 0.3900709219858156
7 31 5 14	0.2001654259718776 0.6808510638297872
7 31 5 16	0.0400775694893342 0.3404255319148936
7 31 5 41	0.10983981693363844 0.6382978723404256
7 31 6 30	0.11257367387033398 0.48226950354609927
7 31 7 33	0.27324171382376716 0.36879432624113473
7 31 9 3	0.06539351851851852 0.3475177304964539
7 31 10 14	0.20274636510500807 0.5957446808510638
7 31 12 27	0.07293447293447293 0.22695035460992907
7 31 14	0.2123249299719888 0.7375886524822695
7 31 14 26	0.09757230804971541 0.46099290780141844
7 31 14 36	0.05403458213256484 0.15602836879432624
7 31 16	0.05555555555555555 0.3333333333333333
7 31 16 5	0.10021231422505308 0.41134751773049644
7 31 16 36	0.12010796221322537 0.3617021276595745
7 31 16 41	0.0030766526019690575 0.0425531914893617
7 31 16 42	0.10226155358898721 0.3049645390070922
7 31 17 41	0.08021390374331551 0.2695035460992908
7 31 18	0.023183925811437404 0.09219858156028368
7 31 18 35	0.049586776859504134 0.09929078014184398
7 31 20	0.07784431137724551 0.07801418439716312
7 31 26 16	0.050160944206008584 0.3262411347517731
7 31 30 14	0.2396343454129938 0.6737588652482269
7 31 30 41	0.12585144339928642 0.5886524822695035
7 31 31	0.05521048999309869 0.2624113475177305
7 31 31 36	0.13001605136436598 0.3120567375886525
7 31 32 13	0.1340974212034384 0.36879432624113473
7 31 34 8	0.12904636920384951 0.41843971631205673
7 31 36	0.0011750881316098707 0.0070921985815602835
7 31 36 16	0.08275058275058275 0.425531914893617
7 31 37 31	0.020029027576197386 0.2127659574468085
7 31 38	0.015355086372360844 0.09219858156028368
7 31 38 12	0.03346797461050202 0.1276595744680851
7 31 39 1	0.12779302234417875 0.48226950354609927
7 31 41	0.10380735437683046 0.7163120567375887
7 31 41 17	0.03223406893131664 0.11347517730496454
7 31 41 26	0.10457408021213126 0.46808510638297873
7 31 41 30	0.15065024743929106 0.6595744680851063
7 31 43	0.02471169686985173 0.07092198581560284
7 31 43 34	0.06020066889632107 0.3546099290780142
7 31 45	0.07333333333333333 0.028368794326241134
7 32	0.0032102728731942215 0.0070921985815602835
7 32 0	0.4538852578068264 0.8368794326241135
7 32 0 1	0.3075990299110752 0.5531914893617021
7 32 2 41	0.14850882531953744 0.5460992907801419
7 32 3 14	0.1822429906542056 0.5460992907801419
7 32 4 31	0.06968503937007874 0.40425531914893614
7 32 5 0	0.28809523809523807 0.75177304964539
7 32 6 31	0.017564528221056013 0.3404255319148936
7 32 7 30	0.16373333333333334 0.46099290780141844
7 32 9	0.04909284951974386 0.14184397163120568
7 32 9 42	0.09763617677286741 0.19148936170212766
7 32 12	0.022483940042826552 0.11347517730496454
7 32 12 1	0.1158371040723982 0.41134751773049644
7 32 14 13	0.1646442360728075 0.5390070921985816
7 32 14 39	0.024719313142749316 0.3191489361702128
7 32 15 32	0.08568646543330087 0.24113475177304963
7 32 19	0.06687898089171974 0.11347517730496454
7 32 25	0.054140127388535034 0.04964539007092199
7 32 27 14	0.19206984357948345 0.7092198581560284
7 32 28 1	0.007929515418502203 0.0425531914893617
7 32 30 0	0.26702307259426 0.6453900709219859
7 32 31 13	0.14533898305084747 0.425531914893617
7 32 31 41	0.014849869451697128 0.2978723404255319
7 32 32	0.045454545454545456 0.1276595744680851
7 32 34	0.1334097859327217 0.7021276595744681
7 32 34 1	0.2665729679081752 0.7092198581560284
7 32 35 0	0.27357998957790514 0.6595744680851063
7 32 37 5	0.07605516088591725 0.28368794326241137
7 32 37 11	0.1008094186902134 0.3617021276595745
7 32 37 36	0.09270620313565099 0.24113475177304963
7 32 39 39	0.03070175438596491 0.20567375886524822
7 32 41 13	0.19246231155778895 0.6382978723404256
7 32 43 16	0.06830601092896176 0.40425531914893614
7 32 44	0.038461538461538464 0.05673758865248227
7 32 45 41	0.10888610763454318 0.2624113475177305
7 33 6 12	0.08784773060029283 0.24822695035460993
7 33 10 14	0.04197530864197531 0.06382978723404255
7 33 13 18	0.003968253968253968 0.014184397163120567
7 33 20	0.22321428571428573 0.14184397163120568
7 33 30 8	0.0975609756097561 0.24822695035460993
7 33 30 33	0.13924050632911392 0.24822695035460993
7 33 37 14	0.20594965675057209 0.3333333333333333
7 33 38	0.060291060291060294 0.19148936170212766
7 33 38 1	0.12005856515373353 0.46808510638297873
7 33 43	0.10309278350515463 0.18439716312056736
7 34	0.011904761904761904 0.014184397163120567
7 34 5 32	0.07751937984496124 0.12056737588652482
7 34 8	0.0036496350364963502 0.0070921985815602835
7 34 9 15	0.13240857503152584 0.16312056737588654
7 34 13	0.006211180124223602 0.0070921985815602835
7 34 13 39	0.06497175141242938 0.14893617021276595
7 34 19	0.2571428571428571 0.0425531914893617
7 34 26 34	0.09019607843137255 0.1347517730496454
7 34 27 14	0.24669603524229075 0.20567375886524822
7 34 32	0.0945179584120983 0.19858156028368795
7 34 34	0.05909090909090909 0.07801418439716312
7 34 36 0	0.3325526932084309 0.4326241134751773
7 34 37	0.05232558139534884 0.04964539007092199
7 34 37 5	0.15736040609137056 0.1702127659574468
7 34 38	0.005291005291005291 0.0070921985815602835
7 34 38 16	0.05619834710743802 0.10638297872340426
7 35	0.096045197740113 0.19148936170212766
7 35 0	0.026239067055393587 0.02127659574468085
7 35 1	0.24156545209176788 0.5460992907801419
7 35 5 5	0.11593172119487909 0.3049645390070922
7 35 5 42	0.0648854961832061 0.11347517730496454
7 35 6 14	0.20326936744847193 0.5035460992907801
7 35 11 5	0.1845703125 0.2907801418439716
7 35 16 41	0.11693948412698413 0.7092198581560284
7 35 19 0	0.31226765799256506 0.375886524822695
7 35 25 0	0.3176043557168784 0.6028368794326241
7 35 30	0.11381407471763684 0.3900709219858156
7 35 31 41	0.10473696738871698 0.5886524822695035
7 35 34 44	0.19196428571428573 0.18439716312056736
7 35 35	0.0945945945945946 0.20567375886524822
7 35 35 1	0.24707716289945442 0.49645390070921985
7 35 36 41	0.005382775119617225 0.06382978723404255
7 35 39 14	0.2021903959561921 0.624113475177305
7 35 40	0.06872852233676977 0.05673758865248227
7 35 42	0.1510791366906475 0.1347517730496454
7 35 44 34	0.11904761904761904 0.28368794326241137
7 36	0.05309734513274336 0.07801418439716312
7 36 0 19	0.29449838187702265 0.19858156028368795
7 36 1	0.08163265306122448 0.19148936170212766
7 36 5	0.07473309608540925 0.15602836879432624
7 36 6 31	0.05670376258611553 0.375886524822695
7 36 11	0.08244680851063829 0.2624113475177305
7 36 30	0.09671848013816926 0.2127659574468085
7 36 34 0	0.26342710997442453 0.3404255319148936
7 36 35	0.056074766355140186 0.028368794326241134
7 36 36	0.0975609756097561 0.14184397163120568
7 36 39 14	0.12266857962697274 0.5106382978723404
7 36 39 41	0.08369169698974528 0.4397163120567376
7 36 41	0.007211538461538462 0.03546099290780142
7 36 41 16	0.052735825699430555 0.46808510638297873
7 36 41 41	0.09934562760261749 0.5177304964539007
7 37 0	0.2127659574468085 0.2127659574468085
7 37 6 8	0.12124352331606218 0.3404255319148936
7 37 9	0.06170598911070781 0.15602836879432624
7 37 11 12	0.03423423423423423 0.05673758865248227
7 37 12	0.059880239520958084 0.15602836879432624
7 37 12 30	0.12560386473429952 0.3404255319148936
7 37 13 14	0.1709039548022599 0.375886524822695
7 37 16 43	0.18191721132897604 0.475177304964539
7 37 25 11	0.13049853372434017 0.3191489361702128
7 37 30 0	0.32270916334661354 0.3191489361702128
7 38 2 14	0.1 0.0070921985815602835
7 38 7 31	0.12 0.0851063829787234
7 40	0.027777777777777776 0.02127659574468085
7 40 15	0.07540983606557378 0.11347517730496454
7 40 15 30	0.16557161629434955 0.2978723404255319
7 40 15 35	0.10200927357032458 0.2198581560283688
7 41	0.0029498525073746312 0.0070921985815602835
7 41 2 0	0.3537117903930131 0.2127659574468085
7 41 5 16	0.06620553359683795 0.41134751773049644
7 41 11 39	0.06988188976377953 0.19148936170212766
7 41 14	0.15220949263502456 0.3120567375886525
7 41 14 26	0.05725011731581417 0.22695035460992907
7 41 16	0.07222844344904815 0.46808510638297873
7 41 16 1	0.19540843566470903 0.6524822695035462
7 41 16 5	0.10731821370119242 0.574468085106383
7 41 20 9	0.07623318385650224 0.15602836879432624
7 41 26 16	0.04967385850476668 0.24822695035460993
7 41 26 39	0.04234234234234234 0.10638297872340426
7 41 31	0.08930987821380243 0.2198581560283688
7 41 32 13	0.20094936708860758 0.22695035460992907
7 41 34 14	0.032390745501285345 0.16312056737588654
7 41 34 18	0.1719520789288231 0.3617021276595745
7 41 37 13	0.22895125553914328 0.36879432624113473
7 41 38 19	0.10486891385767791 0.1276595744680851
7 41 39	0.06724511930585683 0.28368794326241137
7 41 41	0.09477756286266925 0.2907801418439716
7 41 41 1	0.16059701492537312 0.45390070921985815
7 43 13	0.13793103448275862 0.1276595744680851
7 43 16 0	0.25704225352112675 0.475177304964539
7 43 16 34	0.09382151029748284 0.425531914893617
7 43 41 34	0.12057667103538663 0.3049645390070922
7 43 45	0.22807017543859648 0.07801418439716312
7 46 4 30	0.1568627450980392 0.04964539007092199
7 46 14 26	0.05322128851540616 0.09929078014184398
7 46 33	0.18095238095238095 0.09929078014184398
7 46 35 13	0.15483870967741936 0.12056737588652482
7 47 16	0.26666666666666666 0.028368794326241134
7 48 28 5	0.030303030303030304 0.0070921985815602835
8 0 1 45	0.38317757009345793 0.10638297872340426
8 0 14	0.013422818791946308 0.014184397163120567
8 0 20	0.2616822429906542 0.1347517730496454
8 0 26 27	0.06037735849056604 0.0425531914893617
8 0 33 5	0.19946091644204852 0.1347517730496454
8 0 38	0.10139860139860139 0.14893617021276595
8 0 38 1	0.13875 0.24113475177304963
8 0 39 0	0.2761714855433699 0.3900709219858156
8 0 45	0.36619718309859156 0.1347517730496454
8 1 14	0.13270142180094788 0.14893617021276595
8 1 16	0.08635097493036212 0.10638297872340426
8 1 16 35	0.09174311926605505 0.09929078014184398
8 1 39	0.038834951456310676 0.0851063829787234
8 1 41 36	0.06724137931034482 0.1702127659574468
8 2 0	0.2777777777777778 0.1276595744680851
8 2 3 14	0.15384615384615385 0.12056737588652482
8 2 9	0.10714285714285714 0.06382978723404255
8 2 14 18	0.16995073891625614 0.14893617021276595
8 2 31 27	0.07228915662650602 0.06382978723404255
8 2 34	0.07692307692307693 0.07801418439716312
8 3 7 5	0.048484848484848485 0.0425531914893617
8 3 7 35	0.05860805860805861 0.07092198581560284
8 3 9	0.08303249097472924 0.11347517730496454
8 4 9	0.12385321100917432 0.0851063829787234
8 4 11 19	0.14925373134328357 0.0425531914893617
8 4 14 45	0.3888888888888889 0.09929078014184398
8 4 27 31	0.10344827586206896 0.0851063829787234
8 4 34 1	0.29441624365482233 0.14184397163120568
8 4 34 5	0.21913043478260869 0.11347517730496454
8 5 5 41	0.10436893203883495 0.23404255319148937
8 5 11 31	0.08196721311475409 0.10638297872340426
8 5 14	0.19121447028423771 0.24113475177304963
8 5 14 26	0.09713487071977638 0.1702127659574468
8 5 16	0.08440366972477065 0.14184397163120568
8 5 16 11	0.125 0.20567375886524822
8 5 25 3	0.112565445026178 0.0851063829787234
8 5 29 9	0.10294117647058823 0.07801418439716312
8 5 34 33	0.1426056338028169 0.15602836879432624
8 5 37 27	0.06824146981627296 0.07801418439716312
8 5 39	0.057692307692307696 0.12056737588652482
8 5 41	0.11942959001782531 0.24113475177304963
8 6 1	0.1702127659574468 0.18439716312056736
8 6 3 39	0.01483679525222552 0.02127659574468085
8 6 10 30	0.12643678160919541 0.10638297872340426
8 6 12 0	0.30930930930930933 0.2978723404255319
8 6 14 16	0.06868537666174299 0.19148936170212766
8 6 30	0.13765182186234817 0.16312056737588654
